iter	Passed	Remaining
0	46	184786
1	94	189506
2	139	186151
3	198	198686
4	254	203167
5	280	186529
6	316	180793
7	359	179528
8	403	178913
9	448	179036
10	494	179405
11	538	179002
12	587	180049
13	634	180543
14	680	180904
15	728	181380
16	776	181838
17	818	180969
18	862	180745
19	909	181011
20	954	180793
21	1005	181856
22	1056	182767
23	1113	184523
24	1165	185267
25	1230	188003
26	1244	183167
27	1341	190231
28	1410	193098
29	1453	192306
30	1496	191645
31	1541	191159
32	1591	191278
33	1645	191935
34	1705	193182
35	1755	193279
36	1805	193427
37	1856	193555
38	1903	193375
39	1952	193260
40	1995	192734
41	2040	192336
42	2086	191965
43	2129	191493
44	2178	191499
45	2231	191850
46	2260	190135
47	2301	189449
48	2315	186677
49	2329	184055
50	2370	183518
51	2415	183390
52	2467	183753
53	2486	181724
54	2525	181144
55	2569	180989
56	2614	180846
57	2664	181087
58	2730	182401
59	2779	182543
60	2825	182455
61	2869	182255
62	2915	182211
63	2935	180554
64	2976	180199
65	3026	180373
66	3073	180437
67	3083	178297
68	3123	177923
69	3147	176725
70	3193	176707
71	3241	176823
72	3282	176592
73	3327	176563
74	3372	176501
75	3418	176477
76	3464	176494
77	3510	176512
78	3556	176520
79	3601	176459
80	3647	176482
81	3662	174986
82	3702	174713
83	3745	174630
84	3792	174665
85	3836	174594
86	3849	173160
87	3889	172915
88	3938	173088
89	3984	173085
90	4028	173059
91	4074	173081
92	4120	173124
93	4166	173150
94	4221	173519
95	4264	173429
96	4305	173239
97	4348	173138
98	4382	172683
99	4429	172733
100	4472	172658
101	4498	171905
102	4538	171727
103	4585	171766
104	4630	171758
105	4680	171948
106	4725	171910
107	4772	171979
108	4796	171212
109	4838	171117
110	4880	170976
111	4889	169736
112	4936	169790
113	4984	169922
114	5029	169902
115	5071	169805
116	5118	169859
117	5164	169916
118	5218	170180
119	5262	170166
120	5287	169491
121	5326	169304
122	5372	169349
123	5419	169418
124	5465	169422
125	5514	169553
126	5562	169628
127	5604	169545
128	5652	169623
129	5703	169792
130	5749	169804
131	5801	170008
132	5841	169847
133	5884	169774
134	5928	169735
135	5971	169670
136	6013	169572
137	6056	169507
138	6103	169525
139	6148	169517
140	6220	170242
141	6264	170203
142	6313	170293
143	6323	169325
144	6365	169237
145	6406	169106
146	6414	168117
147	6456	168043
148	6504	168114
149	6550	168136
150	6598	168199
151	6645	168230
152	6690	168219
153	6733	168172
154	6777	168135
155	6825	168194
156	6877	168347
157	6924	168371
158	6969	168373
159	7017	168413
160	7065	168468
161	7113	168538
162	7161	168584
163	7208	168614
164	7254	168613
165	7300	168611
166	7343	168550
167	7393	168646
168	7412	168040
169	7460	168082
170	7513	168231
171	7564	168343
172	7614	168448
173	7662	168477
174	7725	168862
175	7769	168813
176	7816	168829
177	7867	168925
178	7877	168150
179	7916	167998
180	7963	168018
181	8010	168039
182	8055	168021
183	8100	167988
184	8150	168073
185	8200	168151
186	8244	168103
187	8288	168071
188	8334	168046
189	8383	168101
190	8428	168082
191	8472	168043
192	8516	167983
193	8563	168001
194	8606	167932
195	8654	167973
196	8704	168039
197	8749	168010
198	8790	167912
199	8804	167292
200	8845	167176
201	8888	167121
202	8934	167106
203	8944	166436
204	8983	166311
205	9028	166288
206	9078	166355
207	9128	166417
208	9178	166478
209	9221	166417
210	9266	166402
211	9312	166386
212	9354	166318
213	9397	166253
214	9416	165771
215	9459	165707
216	9506	165731
217	9548	165653
218	9567	165177
219	9611	165150
220	9657	165146
221	9706	165184
222	9750	165148
223	9794	165100
224	9836	165038
225	9878	164960
226	9921	164908
227	9967	164896
228	10012	164884
229	10058	164873
230	10070	164311
231	10168	165152
232	10229	165392
233	10273	165344
234	10313	165240
235	10327	164718
236	10365	164586
237	10412	164587
238	10456	164552
239	10466	163968
240	10504	163840
241	10548	163799
242	10594	163802
243	10625	163563
244	10673	163591
245	10722	163632
246	10733	163092
247	10739	162476
248	10778	162373
249	10827	162406
250	10874	162420
251	10920	162421
252	10972	162507
253	11020	162526
254	11073	162627
255	11119	162618
256	11166	162634
257	11211	162614
258	11235	162289
259	11278	162233
260	11320	162176
261	11372	162246
262	11418	162247
263	11463	162231
264	11509	162212
265	11553	162178
266	11599	162178
267	11643	162134
268	11653	161626
269	11700	161643
270	11743	161590
271	11752	161075
272	11795	161027
273	11841	161022
274	11886	161010
275	11929	160967
276	11975	160952
277	12018	160903
278	12063	160883
279	12106	160847
280	12154	160863
281	12198	160834
282	12242	160797
283	12286	160768
284	12329	160720
285	12372	160675
286	12418	160657
287	12464	160652
288	12512	160674
289	12563	160726
290	12578	160317
291	12589	159864
292	12633	159836
293	12687	159935
294	12733	159921
295	12778	159908
296	12827	159933
297	12877	159972
298	12920	159926
299	12976	160046
300	13021	160017
301	13070	160043
302	13094	159772
303	13148	159855
304	13173	159599
305	13187	159201
306	13194	158718
307	13236	158669
308	13282	158655
309	13330	158676
310	13383	158745
311	13425	158701
312	13472	158699
313	13523	158746
314	13570	158756
315	13618	158765
316	13662	158732
317	13711	158756
318	13732	158459
319	13773	158395
320	13825	158449
321	13874	158482
322	13924	158516
323	13956	158350
324	14009	158418
325	14053	158379
326	14098	158365
327	14149	158405
328	14198	158430
329	14246	158433
330	14297	158478
331	14343	158467
332	14389	158461
333	14434	158434
334	14483	158454
335	14532	158469
336	14575	158428
337	14619	158388
338	14662	158344
339	14704	158294
340	14751	158284
341	14796	158266
342	14845	158280
343	14890	158249
344	14934	158214
345	14981	158212
