iter	TotalF1	MultiClass
0	0.1915841999	1.791417882
1	0.1919932165	1.791416801
2	0.201941731	1.791285199
3	0.2347794688	1.790914959
4	0.2593354793	1.790412152
5	0.2624219821	1.790363211
6	0.2628826162	1.790162724
7	0.2733930178	1.789950444
8	0.2695426451	1.789801693
9	0.2813228984	1.789600704
10	0.2782426693	1.789487241
11	0.2802197158	1.789116191
12	0.2760143866	1.789073865
13	0.2874141251	1.788672907
14	0.2944877678	1.788411503
15	0.3012088848	1.788142148
16	0.2972813451	1.787975063
17	0.3108435107	1.787503061
18	0.3104789407	1.787454876
19	0.3139154076	1.78728288
20	0.3281761847	1.78704899
21	0.3324717283	1.786829818
22	0.3313277513	1.786576554
23	0.3321615698	1.786571474
24	0.3316733272	1.786320584
25	0.3388294389	1.785966384
26	0.3401875601	1.785709287
27	0.341691044	1.78567163
28	0.3438111407	1.785503877
29	0.3434985375	1.78550384
30	0.3468080805	1.785361809
31	0.3476334289	1.785360697
32	0.3451654177	1.785319773
33	0.348646731	1.785261264
34	0.3487535243	1.785137292
35	0.3533274718	1.784909625
36	0.3504748604	1.784709479
37	0.3511489959	1.784577964
38	0.3534634692	1.784518778
39	0.3690115294	1.784005751
40	0.3700943508	1.783880489
41	0.3683577501	1.783757323
42	0.3718351125	1.783427741
43	0.3706873663	1.783366864
44	0.3726322413	1.783149282
45	0.3704903034	1.782961645
46	0.367030736	1.782670727
47	0.3675473727	1.782236368
48	0.3677594505	1.782141174
49	0.3685333696	1.781964927
50	0.3790799414	1.781709846
51	0.3816984849	1.781534211
52	0.3846377973	1.781420511
53	0.3885557943	1.781142599
54	0.3830667739	1.780797854
55	0.3882506481	1.780486102
56	0.3869664913	1.780399316
57	0.390582091	1.780023315
58	0.3927040421	1.779868697
59	0.3890261498	1.779809675
60	0.391492671	1.779317629
61	0.3904630698	1.779065487
62	0.3918433538	1.778873877
63	0.3925067546	1.778694114
64	0.3926108665	1.778534459
65	0.3918832965	1.778268643
66	0.3953816614	1.778062603
67	0.3924732238	1.77778044
68	0.388837517	1.777555549
69	0.3928685781	1.777321221
70	0.3996264161	1.777106476
71	0.3964879153	1.77699405
72	0.3996742803	1.776851673
73	0.3955596207	1.776793878
74	0.3953318793	1.776618855
75	0.3973970259	1.776472818
76	0.3975575526	1.776305238
77	0.3988934801	1.77618627
78	0.3997287518	1.775993528
79	0.4003936907	1.775911425
80	0.4013829333	1.775647481
81	0.4013346332	1.775392068
82	0.4009406653	1.775236714
83	0.40530972	1.774911214
84	0.4047582671	1.774864768
85	0.4098414929	1.774715352
86	0.4085151188	1.774656762
87	0.4105594959	1.774449467
88	0.4085976482	1.774310133
89	0.4094862001	1.774207957
90	0.4055487084	1.773947952
91	0.4061476971	1.773865993
92	0.401059453	1.773589358
93	0.4046488536	1.77335947
94	0.4027540679	1.773048282
95	0.4118187564	1.772723746
96	0.409819482	1.772694621
97	0.4065818504	1.772532424
98	0.4076031286	1.772389168
99	0.4079158265	1.772376559
100	0.4073037763	1.772227242
101	0.4105405091	1.771769881
102	0.4105036781	1.771639853
