iter	MultiClass
0	1.096024892
1	1.093269895
2	1.090678292
3	1.088153694
4	1.085707337
5	1.08359299
6	1.081339375
7	1.079166207
8	1.077171001
9	1.07511838
10	1.073118265
11	1.071188324
12	1.069376121
13	1.067594253
14	1.06588293
15	1.064309242
16	1.062724504
17	1.061174338
18	1.059643628
19	1.058152169
20	1.056680384
21	1.055257063
22	1.053575163
23	1.052286034
24	1.051065636
25	1.049872885
26	1.04871253
27	1.047498187
28	1.046236812
29	1.045194567
30	1.044114202
31	1.042921434
32	1.041791036
33	1.040707114
34	1.039819112
35	1.038910928
36	1.037955394
37	1.03708372
38	1.036281013
39	1.035456448
40	1.03453693
41	1.033497572
42	1.032428137
43	1.031759538
44	1.030769755
45	1.029696194
46	1.028877203
47	1.028124307
48	1.027536693
49	1.026758838
50	1.026123996
51	1.025044694
52	1.024263857
53	1.023335306
54	1.022767616
55	1.022119852
56	1.021673708
57	1.02124266
58	1.02028931
59	1.019461775
60	1.018642439
61	1.01813865
62	1.01742418
63	1.016810708
64	1.015953702
65	1.014795808
66	1.013799744
67	1.013458669
68	1.012483288
69	1.01214948
70	1.011849956
71	1.010986811
72	1.010232488
73	1.009854061
74	1.009587002
75	1.008648908
76	1.007695804
77	1.007170705
78	1.006339074
79	1.005854847
80	1.00562481
81	1.005214784
82	1.004524806
83	1.003692429
84	1.00320127
85	1.002522223
86	1.002261811
87	1.002065604
88	1.001887414
89	1.001042705
90	1.0003201
91	0.9998991268
92	0.9991500852
93	0.9981984584
94	0.9979825341
95	0.9974296991
96	0.9972537064
97	0.9964594015
98	0.9960729026
99	0.9950343227
100	0.9945519641
101	0.9938466132
102	0.9934948531
103	0.9925108893
104	0.9917401765
105	0.9916240844
106	0.9911348714
107	0.9909955936
108	0.9901512581
109	0.9891731823
110	0.9887650291
111	0.9886667956
112	0.9878607155
113	0.9871131537
114	0.9869054802
115	0.986039063
116	0.9852393455
117	0.9845965363
118	0.9839040275
119	0.9835142391
120	0.9829761924
121	0.9822446797
122	0.9814276764
123	0.9810326327
124	0.9804885377
125	0.9795541657
126	0.9788953363
127	0.9777573114
128	0.9768988302
129	0.9767186427
130	0.9759265201
131	0.9752083951
132	0.9746295189
133	0.974568336
134	0.973550065
135	0.9729958784
136	0.9729286378
137	0.972562453
138	0.9721483359
139	0.9714902505
140	0.971355632
141	0.9708250194
142	0.9701261913
143	0.9693677771
144	0.9691853972
145	0.9684630453
146	0.9677186119
147	0.9676437642
148	0.967089694
149	0.9662947447
150	0.9662279678
151	0.9659428477
152	0.9659031472
153	0.965304765
154	0.9651844813
155	0.9642735325
156	0.9641086057
157	0.963637767
158	0.962948255
159	0.962918973
160	0.9624436218
161	0.9623576821
162	0.9615403144
163	0.9610725734
164	0.9608411031
165	0.9603318022
166	0.960130616
167	0.9596843516
168	0.959221392
169	0.9585142738
170	0.9577679228
171	0.9572605697
172	0.9566112977
173	0.95607953
174	0.9554213915
175	0.9543925274
176	0.9542012963
177	0.9539532253
178	0.9531382201
179	0.9524210006
180	0.9517972825
181	0.9512944888
182	0.9507395837
183	0.9503891138
184	0.9498514716
185	0.9496218351
186	0.9492999345
187	0.9492816701
188	0.948455995
189	0.9479227137
190	0.9472184359
191	0.9465083099
192	0.9459709642
193	0.945927077
194	0.9453720016
195	0.9447296178
196	0.944264497
197	0.9438576505
198	0.9431937466
199	0.9424246015
200	0.941815854
201	0.9414397677
202	0.9405429413
203	0.940162067
204	0.9396569135
205	0.9392225629
206	0.9385679822
207	0.9383136975
208	0.9376485275
209	0.9370962789
210	0.9367305251
211	0.9364338137
212	0.9358570778
213	0.9356224794
214	0.9351304749
215	0.9345428669
216	0.9339946223
217	0.9334080738
218	0.9331948131
219	0.9327538836
220	0.9324964317
221	0.9319134619
222	0.93132296
223	0.9307791705
224	0.9307718124
225	0.9302745943
226	0.929812921
227	0.92966167
228	0.9293116616
229	0.9286732882
230	0.9281208747
231	0.9274580488
232	0.9270242622
233	0.926628018
234	0.9258019025
235	0.9252053291
236	0.9248203245
237	0.9243301513
238	0.9237072634
239	0.923016291
240	0.9227860805
241	0.9222492362
242	0.9215431842
243	0.9212118138
244	0.92081062
245	0.9207738901
246	0.9205455392
247	0.9197507669
248	0.9192909019
249	0.9185575452
250	0.9180116459
251	0.9173919635
252	0.9167092688
253	0.9163438726
254	0.9159312201
255	0.9158792115
256	0.9151692712
257	0.9148841756
258	0.914536254
259	0.9138255976
260	0.9133700423
261	0.9125743621
262	0.9121937799
263	0.9115363688
264	0.9112727819
265	0.9109144937
266	0.9105308977
267	0.9098870926
268	0.9091993984
269	0.9087777773
270	0.9079127961
271	0.9074092528
272	0.9066013748
273	0.9063712851
274	0.9059193476
275	0.9057104094
276	0.9057020796
277	0.9051880037
278	0.9051560444
279	0.9051474999
280	0.9044177463
281	0.9037248918
282	0.9031790554
283	0.902430388
284	0.9016571247
285	0.9012419472
286	0.9010777631
287	0.9007234869
288	0.9000771497
289	0.8994071615
290	0.8989355489
291	0.8984847503
292	0.8978383121
293	0.8973160327
294	0.8968896469
295	0.8964896735
296	0.8959777308
297	0.895201865
298	0.8949888661
299	0.8943663142
300	0.893493394
301	0.8931983833
302	0.8927515149
303	0.8923737273
304	0.8915387533
305	0.8910225555
306	0.8903565738
307	0.8900260011
308	0.8896395655
309	0.8895463527
310	0.8892766083
311	0.8886544015
312	0.8883727314
313	0.887826554
314	0.8877764947
315	0.8873236942
316	0.8867763549
317	0.8862971239
318	0.8861466513
319	0.8855061843
320	0.8854659583
321	0.8851151066
322	0.8848127667
323	0.8844012187
324	0.8836690041
325	0.8835083035
326	0.8832969373
327	0.8831662162
328	0.8826840717
329	0.8824230412
330	0.8815902737
331	0.8808992762
332	0.8801539403
333	0.8795045353
334	0.8791279496
335	0.8788409142
336	0.8782710191
337	0.8777076383
338	0.8768504925
339	0.8760249797
340	0.8751287189
341	0.8744157228
342	0.8740164857
343	0.8734080767
344	0.8725569441
345	0.8719898356
346	0.871265609
347	0.8706241356
348	0.8701677115
349	0.8696785969
350	0.8692453197
351	0.8686008367
352	0.8679468412
353	0.8673864334
354	0.8666317244
355	0.866268619
356	0.8658524422
357	0.8650791172
358	0.8648495704
359	0.8639143127
360	0.8633103019
361	0.8627355525
362	0.8621441851
363	0.8617147087
364	0.8610620819
365	0.8604051911
366	0.8596288929
367	0.8591380278
368	0.8586095001
369	0.8585819576
370	0.8580928544
371	0.857331852
372	0.8567356451
373	0.8560765524
374	0.8558783235
375	0.8551810755
376	0.8545471929
377	0.8539599748
378	0.8535205906
379	0.8529245892
380	0.8522740345
381	0.8515706519
382	0.8511232515
383	0.8507577095
384	0.8500595337
385	0.8496236107
386	0.849052921
387	0.8488082413
388	0.8484384992
389	0.8480269138
390	0.8476131918
391	0.8468483261
392	0.8463792777
393	0.8457166416
394	0.8453046586
395	0.8445795539
396	0.8442949979
397	0.843840542
398	0.8430707039
399	0.8427013042
400	0.8419279351
401	0.8412625525
402	0.8408905169
403	0.8403330907
404	0.8396874414
405	0.8388159649
406	0.8382030738
407	0.8376726644
408	0.8372410476
409	0.8367440173
410	0.8363655563
411	0.8361031676
412	0.835457086
413	0.8347899651
414	0.8342465337
415	0.8335348249
416	0.833270765
417	0.8327810226
418	0.83220533
419	0.8319712391
420	0.8316162203
421	0.8308495002
422	0.8302399633
423	0.8295878534
424	0.8289591528
425	0.8285383407
426	0.8277734538
427	0.8272358516
428	0.8265354739
429	0.8259414872
430	0.8253079828
431	0.824367418
432	0.8241835737
433	0.8233125762
434	0.8227440468
435	0.8222005955
436	0.8216244571
437	0.8210633137
438	0.820626748
439	0.8201265242
440	0.819624465
441	0.8191332149
442	0.8184242056
443	0.8175575329
444	0.8170496011
445	0.8167485482
446	0.8164705591
447	0.8157317886
448	0.8149388814
449	0.8142444895
450	0.8135218739
451	0.8128152633
452	0.8121563892
453	0.8115361006
454	0.8108347347
455	0.8101231621
456	0.8093650262
457	0.8089693804
458	0.8086946769
459	0.8080852813
460	0.8073804904
461	0.8068418351
462	0.8065632506
463	0.8058487232
464	0.8053414335
465	0.8050857568
466	0.8043951686
467	0.8037776165
468	0.8030622637
469	0.802849163
470	0.8020020927
471	0.8012824462
472	0.800460516
473	0.7998045616
474	0.7991400765
475	0.7985220193
476	0.7977304345
477	0.7973029062
478	0.7970172137
479	0.7965026366
480	0.7961322864
481	0.7955418746
482	0.7947990627
483	0.7940814627
484	0.7933602348
485	0.7927162845
486	0.7919783387
487	0.7914837054
488	0.790871506
489	0.7902204421
490	0.78952927
491	0.7891274778
492	0.7887451444
493	0.7880149835
494	0.7875582898
495	0.7870053589
496	0.7861462037
497	0.7855060982
498	0.7848332298
499	0.7841841003
500	0.7834948682
501	0.7830040954
502	0.7822169848
503	0.7815780362
504	0.7810802946
505	0.780347244
506	0.7798229714
507	0.7794630731
508	0.779011521
509	0.7785476978
510	0.777848863
511	0.777348322
512	0.7768433184
513	0.776364789
514	0.7756954475
515	0.7753255037
516	0.7750135555
517	0.7743801483
518	0.7738928565
519	0.7733440575
520	0.7727373602
521	0.7720013537
522	0.7715427091
