iter	Passed	Remaining
0	72	43550
1	82	24785
2	162	32364
3	173	25884
4	179	21369
5	261	25845
6	329	27931
7	343	25396
8	419	27576
9	496	29316
10	567	30396
11	572	28030
12	581	26245
13	585	24488
14	588	22956
15	660	24109
16	736	25241
17	755	24414
18	762	23317
19	844	24479
20	862	23773
21	885	23260
22	983	24673
23	1018	24441
24	1112	25591
25	1117	24674
26	1129	23973
27	1209	24718
28	1290	25408
29	1294	24590
30	1373	25214
31	1445	25659
32	1525	26219
33	1606	26750
34	1610	26002
35	1634	25608
36	1714	26094
37	1796	26572
38	1819	26173
39	1891	26477
40	1974	26924
41	2059	27357
42	2136	27669
43	2139	27037
44	2215	27325
45	2291	27597
46	2359	27765
47	2435	28002
48	2447	27521
49	2524	27770
50	2591	27897
51	2671	28150
52	2743	28310
53	2817	28492
54	2881	28555
55	2965	28811
56	2970	28295
57	2991	27956
58	3080	28246
59	3153	28379
60	3226	28509
61	3291	28565
62	3366	28693
63	3440	28810
64	3511	28899
65	3582	28986
66	3650	29037
67	3656	28607
68	3725	28669
69	3732	28264
70	3736	27840
71	3805	27909
72	3878	27996
73	3957	28130
74	3961	27732
75	4041	27864
76	4117	27970
77	4189	28038
78	4267	28145
79	4341	28220
80	4345	27841
81	4420	27924
82	4494	27993
83	4571	28084
84	4639	28107
85	4708	28143
86	4719	27831
87	4725	27496
88	4733	27175
89	4800	27200
90	4865	27217
91	4942	27293
92	5022	27382
93	5102	27468
94	5120	27219
95	5195	27277
96	5206	26997
97	5277	27034
98	5351	27080
99	5420	27103
100	5490	27123
101	5561	27153
102	5633	27183
103	5707	27220
104	5777	27235
105	5781	26945
106	5854	26975
107	5866	26724
108	5940	26759
109	6020	26818
110	6106	26899
111	6110	26623
112	6186	26663
113	6257	26676
114	6329	26695
115	6400	26706
116	6469	26706
117	6541	26721
118	6608	26713
119	6680	26722
120	6756	26745
121	6827	26749
122	6906	26784
123	6980	26797
124	7067	26858
125	7151	26902
126	7224	26906
127	7298	26912
128	7368	26902
129	7382	26689
130	7449	26671
131	7528	26692
132	7611	26725
133	7619	26498
134	7692	26494
135	7768	26504
136	7774	26275
137	7850	26282
138	7926	26287
139	8000	26286
140	8035	26159
141	8121	26196
142	8202	26213
143	8278	26215
144	8315	26093
145	8393	26098
146	8463	26081
147	8483	25908
148	8557	25902
149	8631	25895
150	8639	25688
151	8714	25685
152	8721	25480
153	8792	25464
154	8807	25285
155	8878	25269
156	8957	25274
157	9045	25303
158	9136	25340
159	9140	25135
160	9211	25116
161	9224	24941
162	9310	24961
163	9388	24959
164	9464	24952
165	9537	24935
166	9607	24910
167	9678	24887
168	9751	24870
169	9821	24842
170	9895	24826
171	9970	24810
172	10052	24810
173	10129	24800
174	10208	24791
175	10284	24775
176	10356	24749
177	10435	24740
178	10503	24704
179	10577	24680
180	10653	24661
181	10725	24633
182	10796	24600
183	10864	24563
184	10948	24559
185	11036	24565
186	11117	24553
187	11128	24387
188	11196	24349
189	11267	24313
190	11343	24291
191	11419	24265
192	11493	24236
193	11503	24075
194	11577	24046
195	11647	24007
196	11711	23957
197	11782	23922
198	11858	23895
199	11937	23875
200	12016	23853
201	12096	23832
202	12176	23812
203	12248	23776
204	12320	23739
205	12401	23718
206	12470	23675
207	12542	23638
208	12612	23595
209	12680	23549
210	12753	23512
211	12822	23467
212	12895	23429
213	12970	23394
214	13051	23371
215	13127	23337
216	13198	23295
217	13262	23239
218	13331	23193
219	13406	23156
220	13480	23117
221	13563	23093
222	13634	23050
223	13713	23018
224	13719	22865
225	13794	22827
226	13871	22792
227	13953	22766
228	14048	22759
229	14124	22722
230	14196	22677
231	14266	22629
232	14346	22597
233	14427	22566
234	14503	22526
235	14577	22483
236	14649	22437
237	14726	22399
238	14807	22365
239	14880	22320
240	14963	22290
241	15045	22257
242	15127	22223
243	15204	22183
244	15276	22135
245	15288	21999
246	15361	21953
247	15433	21905
248	15507	21860
249	15584	21818
250	15661	21775
251	15741	21738
252	15810	21685
253	15878	21629
254	15950	21579
255	15963	21450
256	16046	21416
257	16129	21381
258	16203	21333
259	16275	21283
260	16346	21231
261	16420	21183
262	16488	21128
263	16562	21080
264	16627	21019
265	16703	20973
266	16775	20922
267	16841	20862
268	16918	20818
269	16994	20771
270	17074	20728
271	17143	20673
272	17218	20623
273	17288	20569
274	17350	20505
275	17418	20447
276	17426	20320
277	17500	20270
278	17516	20153
279	17523	20027
280	17593	19972
281	17665	19920
282	17741	19873
283	17816	19823
284	17884	19767
285	17965	19724
286	18038	19672
287	18117	19626
288	18192	19577
289	18267	19527
290	18342	19477
291	18409	19417
292	18479	19362
293	18549	19306
294	18622	19254
295	18692	19197
296	18764	19143
297	18843	19096
298	18918	19044
299	18994	18994
300	19076	18950
301	19157	18903
302	19233	18853
303	19306	18798
304	19390	18754
305	19460	18697
306	19533	18642
307	19600	18582
308	19664	18518
309	19732	18459
310	19804	18403
311	19880	18351
312	19964	18305
313	20046	18258
314	20073	18161
315	20157	18116
316	20234	18064
317	20312	18012
318	20388	17959
319	20464	17906
320	20478	17799
321	20556	17747
322	20629	17691
323	20701	17634
324	20781	17584
325	20848	17522
326	20933	17476
327	21011	17424
328	21083	17367
329	21157	17310
330	21226	17250
331	21367	17248
332	21437	17188
333	21521	17139
334	21592	17080
335	21661	17019
336	21732	16960
337	21803	16901
338	21886	16850
339	21971	16801
340	22053	16750
341	22135	16698
342	22208	16640
343	22284	16584
344	22361	16528
345	22430	16466
346	22503	16407
347	22577	16349
348	22658	16296
349	22736	16240
350	22811	16182
351	22886	16124
352	22963	16067
353	23043	16012
354	23127	15960
355	23205	15905
356	23282	15848
357	23359	15790
358	23428	15728
359	23500	15667
360	23572	15606
361	23645	15545
362	23716	15484
363	23790	15424
364	23860	15362
365	23942	15307
366	24019	15249
367	24096	15191
368	24174	15133
369	24202	15044
370	24274	14983
371	24346	14922
372	24421	14862
373	24493	14801
374	24563	14737
375	24632	14674
376	24704	14613
377	24772	14549
378	24840	14484
379	24914	14424
380	24988	14363
381	25066	14304
382	25145	14246
383	25221	14187
384	25292	14124
385	25363	14061
386	25437	14000
387	25513	13940
388	25586	13878
389	25659	13816
390	25729	13752
391	25796	13687
392	25871	13626
393	25950	13567
394	26028	13508
395	26105	13448
396	26181	13387
397	26252	13324
398	26321	13259
399	26393	13196
400	26469	13135
401	26537	13070
402	26610	13008
403	26683	12945
404	26752	12880
405	26819	12815
406	26891	12752
